LOCATION,latitude,longitude,incidence,RISK,100,cfr,Z,NEW CASES,TOTAL CASES,NEW DEATHS,TOTAL DEATHS,rank
Camas|Idaho|US,43.46665742,-114.8065892,90.4159132,0,0,0,0,0,2,0,0,1
Caribou|Idaho|US,42.77149116,-111.5597683,307.4772886,0,0,0,0,0,35,0,0,1
Cassia|Idaho|US,42.28347888,-113.6012409,1864.336246,0,0,0.175438596,0,0,570,0,1,1
Clark|Idaho|US,44.28496071,-112.3505704,118.3431953,0,0,0,0,0,15,0,0,1
Clearwater|Idaho|US,46.67459924,-115.6622393,171.311101,0,0,0,0,0,20,0,0,1
Custer|Idaho|US,44.24186819,-114.2855494,162.2247972,0,0,0,0,0,18,0,0,1
Elmore|Idaho|US,43.3507101,-115.4701578,676.0931991,0,0,1.158301158,0,0,259,0,3,1
Franklin|Idaho|US,42.18332217,-111.8149666,338.7143269,0,0,0,0,0,54,0,0,1
Fremont|Idaho|US,44.22800938,-111.4809943,335.9035041,0,0,1.030927835,0,0,97,0,1,1
Idaho|Idaho|US,45.84721541,-115.4634436,161.9967601,0,0,0,0,0,39,0,0,1
Latah|Idaho|US,46.81587887,-116.7113698,184.501845,0,0,0,0,0,176,0,0,1
Lewis|Idaho|US,46.23315327,-116.434146,#N/A,0,0,0,0,0,0,0,0,1
Lincoln|Idaho|US,43.0012336,-114.1358773,931.7927693,0,0,0,0,0,63,0,0,1
Minidoka|Idaho|US,42.85518524,-113.6357257,1977.280289,0,0,0.380952381,0,0,525,0,2,1
Nez Perce|Idaho|US,46.32638236,-116.7500975,319.2437141,0,0,8.370044053,0,0,227,0,19,1
Oneida|Idaho|US,42.1949428,-112.5407838,#N/A,0,0,0,0,0,18,0,0,1
Power|Idaho|US,42.69254894,-112.8395742,520.7655253,0,0,0,0,0,90,0,0,1
Shoshone|Idaho|US,47.35364087,-115.8916749,465.7661854,0,0,4.918032787,0,0,183,0,9,1
Unassigned|Idaho|US, nil, nil,#N/A,0,0,0,0,0,3,0,0,1
Valley|Idaho|US,44.76728382,-115.5676773,403.7921348,0,0,1.282051282,0,0,78,0,1,1
Alexander|Illinois|US,37.18049267,-89.32910838,607.5334143,0,0,0,0,0,40,0,0,1
Brown|Illinois|US,39.96209138,-90.75068024,197.6284585,0,0,0,0,0,16,0,0,1
Calhoun|Illinois|US,39.16840183,-90.66330078,126.6089892,0,0,0,0,0,19,0,0,1
De Witt|Illinois|US,40.17514519,-88.90959682,166.2616703,0,0,2.702702703,0,0,37,0,1,1
Hamilton|Illinois|US,38.08163641,-88.53883373,209.4627896,0,0,0,0,0,40,0,0,1
Hardin|Illinois|US,37.51810645,-88.26873022,418.7385501,0,0,0,0,0,18,0,0,1
Henderson|Illinois|US,40.81908672,-90.92491462,135.4198014,0,0,0,0,0,28,0,0,1
Mason|Illinois|US,40.23917274,-89.91824452,314.39479,0,0,1.492537313,0,0,67,0,1,1
McDonough|Illinois|US,40.45674722,-90.67775541,414.3925611,0,0,9.375,0,0,160,0,15,1
Out of IL|Illinois|US, nil, nil,#N/A,0,0,0,0,0,0,0,0,1
Piatt|Illinois|US,40.01360584,-88.59319339,208.0274107,0,0,0,0,0,71,0,0,1
Pope|Illinois|US,37.41391284,-88.56152109,167.5843907,0,0,0,0,0,11,0,0,1
Putnam|Illinois|US,41.2013541,-89.2869272,121.9724691,0,0,0,0,0,13,0,0,1
Schuyler|Illinois|US,40.1571798,-90.61114163,221.6312057,0,0,0,0,0,19,0,0,1
Scott|Illinois|US,39.6429169,-90.47814431,141.3855787,0,0,0,0,0,36,0,0,1
Stark|Illinois|US,41.09309773,-89.79745866,149.7566455,0,0,0,0,0,9,0,0,1
Stephenson|Illinois|US,42.35129217,-89.662598,701.1551081,0,0,1.666666667,0,-1,360,0,6,1
Unassigned|Illinois|US, nil, nil,#N/A,0,0,14.27595628,0,-14,1464,0,209,1
